Neighborhood,District,Latitude,Longitude
Downtown,1,39.097230000000025,-84.51963999999998
Mount Adams,1,39.109200000000044,-84.49638999999996
Over-the-Rhine,1,39.11170000000004,-84.51563999999996
Pendleton,1,39.11040811844508,-84.50692718446123
Queensgate,1,39.20572478016706,-84.3864358923179
West End,1,39.10880000000003,-84.53252999999995
California,2,39.065360000000055,-84.42364999999995
Columbia-Tusculum,2,39.11569000000003,-84.43153999999998
East End,2,39.100130000000036,-84.42789999999997
East Walnut Hills,2,39.12666000000007,-84.47331999999994
Evanston,2,39.14452000000006,-84.46946999999994
Hyde Park,2,39.14219000000003,-84.43422999999996
Kennedy Heights,2,39.18574000000007,-84.40818999999999
Linwood,2,39.12391000000008,-84.41038999999995
Madisonville,2,39.157380000000046,-84.39102999999994
Mount Lookout,2,39.128730000000076,-84.43021999999996
Mount Washington,2,39.08730000000003,-84.38636999999994
Oakley,2,39.15333000000004,-84.42485999999997
Pleasant Ridge,2,39.18358000000006,-84.42468999999994
East Price Hill,3,39.106490000000065,-84.56455999999997
East Westwood,3,39.149910000000034,-84.56418999999994
English Woods,3,39.14092000000005,-84.55770999999999
Lower Price Hill,3,39.105890000000045,-84.54830999999996
Millvale,3,39.14443000000006,-84.55206999999996
North Fairmount,3,39.135890000000074,-84.55686999999995
Riverside,3,39.07746000000003,-84.60222999999996
Sayler Park,3,39.102910000000065,-84.68130999999994
Sedamsville,3,39.09304000000003,-84.57291999999995
South Cumminsville,3,39.15346000000005,-84.55004999999994
South Fairmount,3,39.127560000000074,-84.55537999999996
The Villages of Roll Hill,3,39.151998691842586,-84.54663907068148
West Price Hill,3,39.11343000000005,-84.59203999999994
Westwood,3,39.14857000000006,-84.59848999999997
Avondale,4,39.148430000000076,-84.49480999999997
Bond Hill,4,39.174600000000055,-84.46714999999995
Carthage,4,39.19735000000003,-84.48094999999995
Corryville,4,39.13432000000006,-84.50573999999995
Hartwell,4,39.21339000000006,-84.46936999999997
Mount Auburn,4,39.11788000000007,-84.50341999999995
North Avondale,4,39.15435000000008,-84.48884999999996
Paddock Hills,4,39.164370000000076,-84.47838999999999
Roselawn,4,39.19478000000004,-84.46242999999998
Walnut Hills,4,39.12724000000003,-84.48590999999999
Camp Washington,5,39.13692000000003,-84.53729999999996
Clifton,5,39.150270000000035,-84.51824999999997
College Hill,5,39.202870000000075,-84.54767999999996
CUF,5,39.162000000000035,-84.45688999999999
The Heights,5,39.13023000000004,-84.52976999999998
Mount Airy,5,39.19172000000003,-84.56892999999997
Northside,5,39.16547000000003,-84.54112999999995
Spring Grove Village,5,39.14450676395574,-84.36090210151029
Winton Hills,5,39.189320000000066,-84.51106999999996
